Sentence #,Word,POS,Tag
12,cẩn_thận,A,O
12,giao,N,B-OBJ
12,nhanh,A,B-ADJ
12,lượng,N,O
12,chất_lượng,A,B-ADJ
12,tốt,A,O
13,xinh_đỉnh,N,O
13,giao_hàng,N,B-OBJ
13,nhanh,A,B-ADJ
13,xứng,M,O
14,tốt,A,O
14,hàng_chính_hãng,N,B-OBJ
15,máy,N,O
15,đẹp,A,O
15,lazada,N,B-ORG
15,giao,N,B-OBJ
15,nhanh,A,B-ADJ
15,uy_tín,A,B-ADJ
15,tín_giá,N,O
15,tốt,A,O
15,tốt,A,O
15,tốt,A,O
15,thị_trường,M,O
16,hàng_chính_hãng,N,B-OBJ
16,chất_lượng,A,B-ADJ
16,giao_hành,V,O
16,nhanh,A,B-ADJ
17,nguyên,R,O
17,đai_nguyên,N,O
17,kiện,V,O
17,hàng,N,B-OBJ
17,trăm,M,O
17,giao_hàng,N,B-OBJ
17,máy_bay,N,O
17,hàng_chính_hãng,N,B-OBJ
18,tính_năng,N,B-OBJ
18,đột_phá,V,O
18,cổng,N,O
18,usb,N,B-OBJ
18,phân_giải_màn_hình,N,B-OBJ
18,tuyệt_vời,N,O
18,tuổi_thọ,N,B-OBJ
18,pin,N,B-OBJ
19,chất_liệuhồng,N,O
19,chất_lượng,A,B-ADJ
19,chính_hãng,N,B-OBJ
19,tính_năng,N,B-OBJ
19,chụp,N,B-OBJ
19,hình,N,B-OBJ
19,đẹp,A,O
19,giao_hàng,N,B-OBJ
19,nhanh_chóng,M,O
20,gói_hàng,N,B-OBJ
20,cẩn_thận,A,O
20,đệm,N,O
20,mút,V,O
20,dày,A,O
20,hàng,N,B-OBJ
20,dấu_hiệu,N,O
20,móp,A,O
20,tem,N,B-OBJ
20,niêm_phong,V,O
20,lazada,N,B-ORG
20,hàng,N,B-OBJ
20,giao,N,B-OBJ
20,nhanh,A,B-ADJ
20,shipper,N,O
20,nhiệt_tình,N,O
20,giao,N,B-OBJ
20,mưa_gió,M,O
21,tuyệt,A,B-ADJ
21,đẹp,A,O
21,lựa,V,O
21,thiết_kế,N,B-OBJ
21,mượt,A,B-ADJ
21,chất_lượng,A,B-ADJ
21,camera,N,B-OBJ
21,ấn_tượng,A,B-ADJ
22,giao_hàng,N,B-OBJ
22,nhanh_chóng,V,O
22,phân_giải_màn_hình,N,B-OBJ
22,tuyệt_vời,M,B-OBJ
23,máy,N,O
23,xịn,A,O
23,đóng_gói,N,B-OBJ
23,cẩn_thận,N,O
23,giá,N,B-OBJ
23,tốt,A,O
24,newseal,V,O
24,máy,N,O
24,chuẩn,A,O
24,chất_lượng,A,B-ADJ
25,giao_hàng,N,B-OBJ
25,nhanh_chóng,M,O
26,tính_năng,N,B-OBJ
26,đột_phá,A,O
26,cổng,N,O
26,usb,N,B-OBJ
26,lựa,V,O
26,tuyệt_vời,N,O
26,giao_hàng,N,B-OBJ
26,nhanh_chóng,N,O
26,phân_giải_màn_hình,N,B-OBJ
26,tuyệt_vời,N,O
26,tuổi_thọ,V,O
26,pin,N,B-OBJ
26,thiết_kế,N,B-OBJ
26,mượt_lượng,N,O
26,lưu_trữ,M,B-OBJ
27,tuyệt,A,B-ADJ
27,đẹp,A,O
27,lựa,V,O
28,máy,N,O
28,chính_hãng,N,B-OBJ
28,giao_hàng,N,B-OBJ
28,kỳ,N,O
29,giao_hàng,N,B-OBJ
29,nhanh_chóng,N,O
29,thiết_kế,N,B-OBJ
29,mượt,A,B-ADJ
30,chất_lượng,A,B-ADJ
30,tốt,A,O
30,tính_năng,N,B-OBJ
30,tốt,A,O
30,chất_liệutốt,M,O
31,tính_năng,N,B-OBJ
31,tốt,A,O
31,chất_lượng,A,B-ADJ
31,tốt,A,O
31,chất_liệuchuẩn,V,O
31,giao_hàng,N,B-OBJ
31,nhanh,A,B-ADJ
31,giao_hàng,N,B-OBJ
31,nhiệt_tình,N,O
31,thân_thiện,A,O
31,chất_lượng,A,B-ADJ
31,hàng,N,B-OBJ
31,đúng,A,O
31,mẫu_mã,N,B-OBJ
31,trầy_xước,N,O
31,móp,A,O
31,méo,M,O
32,tốt,A,O
33,tốt,A,O
34,tốt,A,O
35,tốt,A,O
36,giao_hàng,N,B-OBJ
36,chậm_nhân,A,O
36,thách_thức,N,O
36,hủy,N,B-OBJ
36,hủy,M,B-OBJ
37,góp,V,O
37,kê,N,O
37,góp,V,O
37,uy_tín,A,B-ADJ
38,thiết_kế,N,B-OBJ
38,đẹp_mắt,V,O
38,tính_năng,N,B-OBJ
38,sạc,N,B-OBJ
38,nhanh,A,B-ADJ
38,chất_lượng,A,B-ADJ
38,camera,N,B-OBJ
38,ấn_tượng,A,B-ADJ
38,tính_năng,N,B-OBJ
38,tuyệt_vời,M,B-OBJ
39,tốt,A,O
40,đúng,A,O
40,chính_hãng,N,B-OBJ
40,đúng,A,O
40,đẹp,A,O
40,giá,N,B-OBJ
40,ổn,A,B-ADJ
40,khuyến_khích,V,O
40,xanh_dương,N,O
40,xanh_la,M,B-OBJ
41,giao_hàng,N,B-OBJ
41,nhanh_chóng,V,O
41,nhanh,A,B-ADJ
41,hồng,N,B-OBJ
41,đẹp,A,O
41,xinh_kỳ,V,O
41,đội_ngũ,N,O
41,lazada,N,B-ORG
41,giao,N,B-OBJ
41,nhạn,N,O
41,moii,M,B-OBJ
42,tính_năng,N,B-OBJ
42,tốt,A,O
42,chất_lượng,A,B-ADJ
42,tốt,A,O
42,chất_liệutốt,V,O
42,nhân_lazada,N,O
42,nhiệt_tình,V,O
42,tỉ_mỉ,N,O
42,đóng_gói,N,B-OBJ
42,cẩn_thận,N,O
42,hàng,N,B-OBJ
42,chuẩn,A,O
42,chính_hãng,N,B-OBJ
42,lazada,N,B-ORG
42,rẻ,A,O
42,góp,V,O
43,tuyệt_yên,N,O
43,lazada,N,B-ORG
43,tem,N,B-OBJ
43,dán,V,O
43,quanh,N,O
43,yên,A,O
44,tem_mới,N,O
44,kích_hoạt_khuyến_mãi,N,O
44,hài_lòng,M,O
45,giao_hàng,N,B-OBJ
45,nhanh,A,B-ADJ
45,hàng,N,B-OBJ
45,lazmall,N,B-OBJ
45,chính_hãng,N,B-OBJ
46,máy,N,O
46,đẹp,A,O
46,giao_hàng,N,B-OBJ
46,nhanh,A,B-ADJ
46,sản_phẩm,N,B-OBJ
47,iphone,N,B-OBJ
47,bền_hường,M,O
48,giàu,A,O
48,vitamin,N,O
48,khoáng,V,O
48,chất,N,O
48,tốt_hệ,V,O
48,miễn_dịch,N,O
48,đóng_gói_tiện lợi,M,B-OBJ
49,perfect,N,O
49,chức_năng,V,O
49,multifunction,N,O
49,bé,N,O
49,hồng xinh_hộp,V,O
49,mát_lòng,N,O
49,mát_lazada,V,O
49,giao_hàng,N,B-OBJ
49,nhanh_đóng_gói,V,O
49,kĩ_shipper,N,O
49,thân_thiện,V,O
49,hài_lòng,N,O
49,máy_toanh,V,O
49,nguyên_tem,N,O
49,nhãn,M,B-OBJ
50,sản_phẩm,N,B-OBJ
50,chính_hãng,N,B-OBJ
50,giao_hàng,N,B-OBJ
50,nhanh,A,B-ADJ
50,đóng_gói,N,B-OBJ
50,cẩn_thận,N,O
50,ủng_hộ,M,B-OBJ
51,xinh_ship,N,O
51,hôm,N,O
51,giá,N,B-OBJ
51,thực_rẻ,N,O
51,lười,A,O
51,ship,M,O
52,lượng,N,O
52,lưu_trữ,N,O
52,chất_lượng,A,B-ADJ
52,camera,N,B-OBJ
52,ấn_tượng,A,B-ADJ
52,màn_hình,N,B-OBJ
52,nét,N,O
53,hàng,N,B-OBJ
53,chuẩn,A,O
53,đúng,A,O
53,chính_hãng,N,B-OBJ
53,nguyên_tem_mới,N,O
53,đúng_nhiên,N,O
53,hẹn,V,O
53,giao,N,B-OBJ
53,giao,N,B-OBJ
53,nhắn_tín,N,O
53,ship,N,O
53,hỏa_tốc,V,O
53,câu,N,O
53,chán,A,B-ADJ
53,tụt_hứng,M,O
54,oke,M,O
55,máy,N,O
55,đẹp,A,O
55,mặc,V,O
55,nam,N,O
55,hồng,N,B-OBJ
55,sịn,N,O
55,chất_lượng,A,B-ADJ
55,tốt,A,O
55,tính_năng,N,B-OBJ
55,tốt,A,O
55,chất_liệucám,N,O
55,cầm,V,O
55,dịu,A,O
55,tay,N,O
56,tính_năng,N,B-OBJ
56,chất_lượng,A,B-ADJ
56,camera,N,B-OBJ
56,ấn_tượng,A,B-ADJ
56,tính_năng,N,B-OBJ
56,sạc,N,B-OBJ
56,nhanh,A,B-ADJ
56,màn_hình,N,B-OBJ
56,nét,N,O
57,thiết_kế,N,B-OBJ
57,đẹp_mắt,M,O
58,miêu_tả,N,O
58,giao_hàng,N,B-OBJ
58,cập_nhật,N,O
58,giao,N,B-OBJ
58,chính_xác,M,O
59,tính_năng,N,B-OBJ
59,iphone,N,B-OBJ
59,ngon,A,O
60,trọng_lịch,N,O
60,tuyệt_vời,M,O
61,thiết_kế,N,B-OBJ
61,đẹp_mắt,V,O
61,thiết_kế,N,B-OBJ
61,đẹp_mắt,N,B-OBJ
61,trọng_lịch,M,B-OBJ
62,hàng,N,B-OBJ
62,đẹp,A,O
62,chính,T,O
62,hảng,N,O
62,tốt,A,O
62,vàng,N,O
62,mặt,N,O
62,kem,N,O
62,trắng,A,O
62,nữ,N,O
62,tính,V,O
62,hu,N,O
62,hu,M,B-OBJ
63,giao_hàng,N,B-OBJ
63,phản_hồi,M,O
64,sản_phẩm,N,B-OBJ
64,tốt,A,O
64,giá,N,B-OBJ
64,hợp_lý,N,O
64,giao_hàng,N,B-OBJ
64,dự_kiến,N,O
64,lazada,N,B-ORG
64,đợi,V,O
64,lazada,N,B-ORG
64,đền,N,B-OBJ
64,tư_vana,N,B-OBJ
64,nhiệt_tình,M,B-OBJ
65,mặt_lưng,N,B-OBJ
65,làn,Nc,O
65,mặt_lưng_rỡ,N,O
65,sữa,N,O
65,rửa,V,O
65,mặt,N,O
65,nhẹ_nhàng,V,O
65,mặt_lưng,N,B-OBJ
65,bình,M,B-OBJ
66,sản_phẩm,N,B-OBJ
66,tốt,A,O
66,giá,N,B-OBJ
66,hợp_lý,V,O
66,giao_hàng,N,B-OBJ
66,nhanh,A,B-ADJ
66,tư_vana,N,O
66,nhiệt_tình,M,B-OBJ
67,sản_phẩm,N,B-OBJ
67,tốt,A,O
67,giá,N,B-OBJ
67,hợp_lý,V,O
67,giao_hàng,N,B-OBJ
67,nhanh,A,B-ADJ
67,tư_vana,N,O
67,nhiệt_tình,M,B-OBJ
68,chất_lượng,A,B-ADJ
68,tốt,A,O
69,hàng,N,B-OBJ
69,tốt,A,O
69,giao_hàng,N,B-OBJ
69,thời_hạn,N,B-OBJ
69,giao_hàng,N,B-OBJ
70,chất_liệutốt,M,O
71,hàng,N,B-OBJ
71,câu,N,O
71,thiệp_động,N,O
71,việt,N,O
71,báo,V,O
71,đóng_gói,N,B-OBJ
71,giao,N,B-OBJ
71,chạy,V,O
71,chương_trình,N,O
71,bất_bắt_buộc,V,O
71,hủy,N,O
71,giao,N,B-OBJ
71,đời,N,O
71,hàng,N,B-OBJ
71,giao_hàng_lẽ,V,O
71,di_động,N,B-OBJ
71,việt,M,B-OBJ
72,hàng,N,B-OBJ
72,đẹp,A,O
72,đúng,A,O
72,mô_tả,N,O
72,đóng_gói,N,B-OBJ
72,cẩn_thận,V,O
72,giao_hàng,N,B-OBJ
72,nhanh,A,B-ADJ
73,hôm,N,O
73,nhanh,A,B-ADJ
73,điện_thoại,N,B-OBJ
73,cskh,V,O
73,dịch,N,O
73,ổn,A,B-ADJ
73,hài_lòng,N,O
73,ổn,A,B-ADJ
73,liên_hệ,V,O
73,lazada,N,B-ORG
73,hàng,N,B-OBJ
73,nhanh,A,B-ADJ
73,chất_lượng,A,B-ADJ
73,tốt,A,O
73,trầy_xước,N,O
73,hàng_nguyên_tem_mới,M,O
74,hàng,N,B-OBJ
74,đẹp,A,O
74,chuẩn,A,O
74,mô_tả,V,O
74,giao_hàng,N,B-OBJ
74,nhanh,A,B-ADJ
74,chuẩn,A,O
75,dụng,N,O
75,chất_liệuhàng,V,O
75,chuẩn,N,O
75,chính_hãng,N,B-OBJ
75,ủng_hộ,M,B-OBJ
76,sản_phẩm,N,B-OBJ
76,đúng,A,O
76,hẹn,N,O
76,đóng_gói,N,B-OBJ
76,cẩn_thận,V,O
76,sản_phẩm,N,B-OBJ
76,nguyên_tem,V,O
76,chính_hãng,N,B-OBJ
76,kèm,V,O
76,tem,N,B-OBJ
76,lazada,N,B-ORG
76,sản_phẩm,N,B-OBJ
77,hàng,N,B-OBJ
77,tiên,N,O
77,quà,N,O
77,tiên_điện_thoại,V,O
77,lazada,N,B-ORG
77,lắng,V,O
77,yên_lớp niêm_phong_giá,N,O
77,tốt,A,O
77,mê,V,O
78,chất_lượng,A,B-ADJ
78,chính_hãng,N,B-OBJ
78,tem_mới,N,O
78,đóng_gói,N,B-OBJ
78,cẩn_thận,N,O
78,nhân_shipper,V,O
78,nhiệt_tình,N,O
78,vui_vẻ,N,B-OBJ
78,ủng_hộ,M,B-OBJ
79,lượng,N,O
79,lưu_trữ,N,O
79,ấn_tượng,A,B-ADJ
79,chất_lượng,A,B-ADJ
79,camera,N,B-OBJ
79,ấn_tượng,A,B-ADJ
79,giao_hàng,N,B-OBJ
79,nhanh_chóng,V,O
79,tín_cậy,N,O
79,hệ_hành,V,O
79,ios_tiện,N,O
79,lợi_dụng,M,B-OBJ
80,chức_năng,N,O
80,tốt,A,O
80,material,V,O
80,tốt,A,O
80,giao_hàng,N,B-OBJ
80,nhanh,A,B-ADJ
80,máy,N,O
80,chính_hãng,N,B-OBJ
81,hàng,N,B-OBJ
81,giao,N,B-OBJ
81,siêu,Z,O
81,nhanh,A,B-ADJ
81,hôm,N,O
81,hôm,N,O
81,hàng,N,B-OBJ
81,chất_lượng,A,B-ADJ
81,tem_mới,N,O
81,chính_hãng,N,B-OBJ
81,shipper,N,O
81,nhiệt_tình,N,B-OBJ
81,vui_vẻ,M,B-OBJ
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,tốt,A,O
82,nét,N,O
82,nét,N,O
82,nét,N,O
82,hiệu_năng,N,B-OBJ
82,mượt,A,B-ADJ
82,nhanh_chóng,M,O
83,sản_phẩm,N,B-OBJ
83,đúng,A,O
83,mô_tả,N,O
83,giao_hàng,N,B-OBJ
83,nhanh_tục,N,B-OBJ
83,ủng_hộ,M,B-OBJ
84,săn,V,O
84,món,N,O
84,lazada,N,B-ORG
84,canh_trùng,N,O
84,sản_phẩm,N,B-OBJ
84,chút,L,O
84,unbox_video,V,O
84,kĩ_sơ_suất,N,O
84,khiếu_nại,M,B-OBJ
85,chất_lượng,A,B-ADJ
85,camera,N,B-OBJ
85,ấn_tượng,A,B-ADJ
85,hệ_hành,V,O
85,ios_tiện,N,O
85,lợi_dụng,V,O
85,thời_lượng,N,O
85,pin,N,B-OBJ
86,sản_phẩm,N,B-OBJ
86,đỉnh,N,O
86,tuyệt,A,B-ADJ
87,tính_năng,N,B-OBJ
87,tốt,A,O
87,chất_lượng,A,B-ADJ
87,tốt,A,O
87,chất_liệutốt,V,O
87,hàng,N,B-OBJ
87,đẹp,A,O
87,đúng,A,O
87,mô_tả,N,O
87,đóng_gói,N,B-OBJ
87,cẩn_thận,V,O
87,giao_hàng,N,B-OBJ
87,nhanh,A,B-ADJ
88,chất_lượng,A,B-ADJ
88,sản_phẩm,N,B-OBJ
88,tuyệt_vời,N,O
88,đóng_gói,N,B-OBJ
88,cẩn_thận vận,V,O
88,hàng,N,B-OBJ
88,nhanh,A,B-ADJ
88,ủng_hộ,M,O
89,hàng,N,B-OBJ
89,bẩy,V,O
89,setup,N,O
89,khổ,A,O
90,sản_phẩm,N,B-OBJ
90,đúng,A,O
90,mô_tả,N,O
90,giao_hàng,N,B-OBJ
90,nhanh_mã nguyên,V,O
90,đai_nguyện,N,O
90,kiện,V,O
91,săn,V,O
91,xứng,N,O
91,đángg,M,O
92,chất_lượng,A,B-ADJ
92,sản_phẩm,N,B-OBJ
92,tốt,A,O
92,đóng_gói_hàng,V,O
92,cẩn_thận,N,O
92,ủng_hộ,V,O
92,iphone,N,B-OBJ
92,lazada,N,B-ORG
93,dịch,V,O
93,hàng,N,B-OBJ
93,chip_mẽ,N,O
93,da_nhiệm,A,O
93,mượt,A,B-ADJ
94,giao_hàng,N,B-OBJ
94,nhanh_chóng,V,O
94,đóng_gói,N,B-OBJ
94,caan,V,O
94,thận,N,O
94,chắn,V,O
94,lhas,N,O
94,tốt,A,O
95,hàng,N,B-OBJ
95,đẹp,A,O
95,đúng,A,O
95,mô_tả,N,O
95,đóng_gói,N,B-OBJ
95,cẩn_thận,V,O
95,giao_hàng,N,B-OBJ
95,nhanh,A,B-ADJ
96,thiết_kế_trọng,N,O
96,hiện_đại,N,O
96,đẹp,A,O
96,kiện,V,O
96,ánh,N,O
97,hàng,N,B-OBJ
97,liên_hệ,N,O
97,kèm,V,O
97,giấy,N,O
97,hóa_chế,V,O
97,bảo_hành,N,B-OBJ
98,chất_lượng,A,B-ADJ
98,xịn,A,O
98,chất_liệutitan,N,O
98,nhẹ_tay,V,O
98,tính_năng_full,N,O
98,chức_năng,V,O
98,thiết_máy,N,O
98,cầm,V,O
98,nhẹ_tay,N,O
98,dòng,N,O
98,đời,N,O
99,giao_hàng,N,B-OBJ
99,hàng,N,B-OBJ
99,giao,N,B-OBJ
100,tính_năng,N,B-OBJ
100,tốt,A,O
100,tính_năng,N,B-OBJ
100,công_dụng,N,O
100,chất_lượng,A,B-ADJ
100,máy,N,O
100,nóng,A,O
100,chất_liệutitanium,V,O
100,giá,N,B-OBJ
100,rẻ,A,O
100,camera,N,B-OBJ
100,iphone,N,B-OBJ
100,chụp_ảnh,N,B-OBJ
100,siêu,Z,O
100,đẹp,A,O
100,ảnh,N,B-OBJ
100,slay,V,O
100,liền,R,O
100,máy,N,O
100,lận,V,O
100,máy,N,O
100,nóng,A,O
100,nâp,V,O
100,ios,N,O
100,nóng,A,O
100,máy,N,O
100,tem,N,B-OBJ
100,lazasa,N,O
100,check,V,O
100,imei,N,O
100,sợ,V,O
100,lầm,V,O
100,hàng,N,B-OBJ
100,hôm_nay cảm,V,O
100,tốt,A,O
100,pin,N,B-OBJ
100,cục,Nc,O
100,sạc,N,B-OBJ
100,sạc,N,B-OBJ
100,nhanh,A,B-ADJ
101,giao_hàng,N,B-OBJ
101,nhanh_chóng,A,O
101,tín_cậy,N,O
101,ưu_đãi,V,O
101,hàng,N,B-OBJ
101,phương_thức,V,O
101,đăng_nhập,N,O
101,tiện_ích_toán,N,O
101,treo,V,O
101,tài_khoản,N,O
101,yếu_tố,V,O
101,khắc_phục,N,O
101,phương_thức toán,V,O
101,hàng,N,B-OBJ
102,chip_mẽ,N,O
102,da_nhiệm,A,O
102,mượt,A,B-ADJ
102,thời_lượng,N,O
102,pin,N,B-OBJ
103,máy,N,O
103,nguyên_tem_mới,V,O
103,mô_tả,N,O
103,hài_lòng,M,B-OBJ
104,hiệu_năng,N,B-OBJ
104,mượt,A,B-ADJ
104,nhanh_chóng lượng,N,O
104,lưu_trữ,N,B-OBJ
104,ấn_tượng,A,B-ADJ
105,đóng_gói,N,B-OBJ
105,cẩn_thận,V,O
105,chu_đáo,N,O
105,sản_phẩm,N,B-OBJ
105,đẹp,A,O
105,đúng,A,O
106,dụng,N,O
106,chất_liệulượng,V,O
106,lưu_trữ,N,O
106,ấn_tượng,A,B-ADJ
106,hệ_hành,N,O
106,ios_tiện,N,O
106,lợi_dụng,V,O
106,dịch,V,O
106,hàng,N,B-OBJ
107,thiết_kế_trọng,N,O
107,hiện_đại,V,O
107,giao_hàng,N,B-OBJ
107,nhanh_chóng,N,B-OBJ
107,tín_cậy,M,B-OBJ
108,hàng,N,B-OBJ
108,đẹp,A,O
108,đúng,A,O
108,mô_tả,N,O
108,đóng_gói,N,B-OBJ
108,cẩn_thận,V,O
108,giao_hàng,N,B-OBJ
108,nhanh,A,B-ADJ
109,thời_lượng,N,O
109,pin,N,B-OBJ
109,chip_mẽ,N,O
109,da_nhiệm,A,O
109,mượt,A,B-ADJ
109,hệ_hành,N,O
109,ios_tiện,V,O
109,lợi_dụng,N,O
109,giao_hàng,N,B-OBJ
109,nhanh_chóng,N,O
109,tín_cậy,M,B-OBJ
110,giao_hàng,N,B-OBJ
110,nhanh,A,B-ADJ
110,đóng_gói,N,B-OBJ
110,chắn,V,O
110,nhân_giao_hàng,N,O
110,cẩn_thận,M,B-OBJ
111,ưu_đãi,V,O
111,hàng,N,B-OBJ
111,phương_thức,V,O
111,đăng_nhập,N,O
111,tiện_ích_toán,N,O
111,treo,V,O
111,tài_khoản,N,O
111,yếu_tố,V,O
111,khắc_phục,N,O
111,phương_thức toán,V,O
111,hàng,N,B-OBJ
112,giao_hàng,N,B-OBJ
112,nhanh_chóng,V,O
112,tín_cậy,N,O
112,hiển_thị,V,O
112,sống_động,N,O
112,thời_lượng,N,B-OBJ
112,pin,N,B-OBJ
113,điện_thoại,N,B-OBJ
113,hàng_chính_hãng,N,B-OBJ
113,giao_hàng,N,B-OBJ
113,nhanh,A,B-ADJ
113,giá,N,B-OBJ
113,nửa,N,O
114,tuyet,N,O
114,voi,N,O
114,luon,V,O
114,hãng,N,B-OBJ
114,chính_hãng,N,B-OBJ
114,dep,V,O
114,chuan_lan,N,O
114,hài_lòng,M,B-OBJ
115,hàng,N,B-OBJ
115,chuẩn,A,O
115,hàng,N,B-OBJ
115,chính,T,O
115,hangc,N,O
115,giao,N,B-OBJ
115,hãng,N,B-OBJ
115,nhanh_đóng_gói,N,B-OBJ
115,cẩn_thận,M,B-OBJ
116,tính_năng,N,B-OBJ
116,tốt,A,O
116,chất_lượng,A,B-ADJ
116,tốt,A,O
116,chất_liệuđẹp,V,O
116,hàng,N,B-OBJ
116,đẹp,A,O
116,đúng,A,O
116,mô_tả,N,O
116,đóng_gói,N,B-OBJ
116,cẩn_thận,V,O
116,giao_hàng,N,B-OBJ
116,nhanh,A,B-ADJ
117,giao_hàng,N,B-OBJ
117,nhanh_shipper,V,O
117,kĩ_tính,V,O
117,hàng,N,B-OBJ
117,lazada,N,B-ORG
117,bàn,N,O
118,hiển_thị,N,O
118,sống_động,V,O
118,hiệu_năng_mượt,N,O
118,nhanh_chóng_dụng,N,B-OBJ
118,chất_liệu,M,B-OBJ
119,chất_lượng,A,B-ADJ
119,vỏ,N,B-OBJ
119,hộp,N,O
119,bẩn,A,O
119,chột,V,O
119,nguyên_tem_mới,N,O
119,hôm,N,O
119,hôm,N,O
119,giao_hàng,N,B-OBJ
119,hàng,N,B-OBJ
119,lazada,N,B-ORG
119,yên hy_vọng,N,O
119,máy_móc,N,O
119,chạy,V,O
119,ổn_định,M,O
120,tính_năng,N,B-OBJ
120,điện_thoại,N,B-OBJ
120,chất_lượng,A,B-ADJ
120,tốt,A,O
120,chất_liệutitan,V,O
120,hàng_chính_hãng,N,B-OBJ
120,giao_hàng,N,B-OBJ
120,nhanh,A,B-ADJ
120,đóng_gói,N,B-OBJ
120,kỹ,A,O
120,hàng,N,B-OBJ
120,yên_hàng,V,O
120,tuyệt_vời,N,O
120,hàng_nguyên_tem_mới,V,O
120,nguyên_kiện,N,O
120,chê,A,B-ADJ
120,ủng_hộ_tục,M,O
121,chất_lượng,A,B-ADJ
121,oki,V,O
121,chất_liệuoki,N,O
121,tính_năng,N,B-OBJ
121,oki,M,B-OBJ
122,hàng,N,B-OBJ
122,lazada,N,B-ORG
122,giao_hàng,N,B-OBJ
122,nhanh,A,B-ADJ
122,liền,R,O
123,giao_hàng,N,B-OBJ
123,nhanh,A,B-ADJ
123,gói_hàng,N,B-OBJ
123,cẩn_thận,V,O
123,iphone,N,B-OBJ
123,hình_ảnh,N,B-OBJ
123,tính_chất,N,O
123,chụp,N,B-OBJ
123,chính,T,O
123,iphone,N,B-OBJ
124,tính_năng,N,B-OBJ
124,camera,N,B-OBJ
124,đẹp,A,O
124,chụp,N,B-OBJ
124,tốt,A,O
124,chất_lượng,A,B-ADJ
124,cầm,V,O
124,nhẹ,A,O
124,cạnh_vát,N,O
124,cảm_giác,V,O
124,cầm,V,O
124,nắm,V,O
124,thoải_mái,N,O
124,chất_liệutitanium,N,O
124,đỡ,V,O
124,bám,V,O
124,tay_trọng,M,O
125,sản_phẩm,N,B-OBJ
125,chính_hãng,N,B-OBJ
125,sai_sót,N,O
125,sản_phẩm,N,B-OBJ
125,đóng_gói,N,B-OBJ
125,giao,N,B-OBJ
125,sản_phẩm,N,B-OBJ
125,giá,N,B-OBJ
125,săn,V,O
125,tốt,A,O
125,rẻ,A,O
125,trung_điện_thoại,M,O
126,hàng,N,B-OBJ
126,chuẩn,A,O
126,ngon_lành,V,O
126,cành,N,O
